1,Le'Veon Bell,1,RB,PIT,11,1,15,2.7,3,2,14.3,3.1,0.03
2,Adrian Peterson,1,RB,MIN,5,1,12,3.7,3,1,14.4,2.7,0.01
3,Jamaal Charles,1,RB,KC,9,1,13,4.2,3.3,3,15.2,5.1,0.19
4,Antonio Brown,1,WR,PIT,11,1,10,5.1,2.1,4,14.1,5.1,0.18
5,Eddie Lacy,1,RB,GB,7,1,18,6.5,4.7,5,14.4,3.1,0.03
6,Demaryius Thomas,2,WR,DEN,7,4,17,8.8,2.7,12,13.7,4.3,0.13
7,Julio Jones,2,WR,ATL,10,2,21,8.8,3.3,9,13,4.1,0.11
8,Dez Bryant,2,WR,DAL,6,5,16,9.5,3.1,7,13.1,5.3,0.2
9,Odell Beckham Jr.,2,WR,NYG,11,3,24,11.2,5.3,8,12.9,2.9,0.02
10,Marshawn Lynch,2,RB,SEA,9,2,22,12.1,4.4,6,14.7,4.3,0.13
11,Matt Forte,2,RB,CHI,7,1,32,12.1,6.5,13,14,2.8,0.01
12,Calvin Johnson,2,WR,DET,9,4,21,12.8,4.1,14,12.5,2.9,0.02
13,C.J. Anderson,2,RB,DEN,7,1,46,14,8,11,13.2,4.2,0.12
14,Rob Gronkowski,2,TE,NE,4,3,17,8.5,3.8,10,10.9,8.1,0.42
15,A.J. Green,2,WR,CIN,7,7,21,15.2,3.4,19,11.6,3.3,0.05
16,Jordy Nelson,2,WR,GB,7,9,22,15.6,3.7,17,12.9,5.5,0.21
17,DeMarco Murray,3,RB,PHI,8,1,36,18.8,7,16,12.9,6.2,0.27
18,Randall Cobb,3,WR,GB,7,4,39,19.2,6.4,22,11.7,4.4,0.13
19,LeSean McCoy,3,RB,BUF,8,1,36,19.2,6.4,15,13,4.7,0.16
20,Justin Forsett,3,RB,BAL,9,8,80,19.8,12.3,21,11.4,2.7,0.01
21,Alshon Jeffery,3,WR,CHI,7,12,29,20.3,3.6,23,11.5,3.7,0.08
22,Jeremy Hill,3,RB,CIN,7,3,38,21.6,7.4,18,12.2,5.1,0.19
23,Mike Evans,4,WR,TB,6,18,37,24.7,5.1,24,11,4.1,0.11
24,DeAndre Hopkins,4,WR,HOU,9,5,51,28,7.5,33,10.1,4.2,0.11
25,Andrew Luck,4,QB,IND,10,17,39,28.5,3.7,20,20.3,2.9,0.02
26,Ty Hilton,4,WR,IND,10,19,63,29.2,10.1,25,10.9,5.8,0.24
27,Aaron Rodgers,4,QB,GB,7,23,44,29.3,3.8,26,20.5,2.9,0.02
28,Frank Gore,4,RB,IND,10,12,49,30.8,8.7,29,10.3,3,0.02
29,Brandin Cooks,4,WR,NO,11,17,50,31.8,7.8,31,10,7.8,0.39
30,Lamar Miller,4,RB,MIA,5,12,87,32.6,14.8,27,10.9,6.3,0.28
31,Emmanuel Sanders,5,WR,DEN,7,21,57,34.5,9.4,32,10.5,2.8,0.01
32,Mark Ingram,5,RB,NO,11,23,65,35.2,7.4,35,10.9,5.3,0.2
33,Andre Ellington,5,RB,ARI,9,14,74,36.8,14.2,39,10,3.6,0.07
34,C.J. Spiller,5,RB,NO,11,18,80,37,13.8,34,8,2.9,0.01
36,Alfred Morris,6,RB,WAS,8,25,68,40.6,8.9,38,10.6,4.8,0.16
37,Kelvin Benjamin,6,WR,CAR,5,23,79,41.5,13.1,36,10.1,3.1,0.03
38,Andre Johnson,6,WR,IND,10,21,76,42.7,12.8,45,9,3.8,0.08
39,Julian Edelman,6,WR,NE,4,28,85,43,11.1,44,9.1,4.1,0.11
40,Jordan Matthews,6,WR,PHI,8,22,148,44,20.9,37,9.6,4.4,0.13
41,Keenan Allen,6,WR,SD,10,24,95,44.2,12.2,49,8.9,3.9,0.09
42,Jonathan Stewart,6,RB,CAR,5,24,94,44.7,15.5,46,9.2,5.9,0.25
43,Jimmy Graham,6,TE,SEA,9,27,67,43.8,12.5,30,8.8,7.7,0.39
44,Latavius Murray,7,RB,OAK,6,35,104,49.9,15.3,41,10,4.4,0.13
45,Carlos Hyde,7,RB,SF,10,19,79,50,14,43,10.5,5.9,0.25
46,Golden Tate,7,WR,DET,9,30,73,50.7,11.3,50,8.9,3.6,0.07
48,Russell Wilson,7,QB,SEA,9,36,83,51.2,11.2,61,18.7,2.9,0.02
49,Brandon Marshall,7,WR,NYJ,5,29,69,51.5,8.7,58,8.5,4.3,0.13
50,Giovani Bernard,7,RB,CIN,7,25,94,52.7,19.6,54,8.1,3.6,0.07
51,Peyton Manning,7,QB,DEN,7,37,107,53.7,13.4,55,18.6,3.2,0.04
52,Todd Gurley,8,RB,STL,6,25,106,57.7,18.5,47,9.6,5,0.18
53,Greg Olsen,7,TE,CAR,5,27,83,54.3,12.6,59,7.9,3,0.03
54,Jeremy Maclin,8,WR,KC,9,40,98,58.8,11.3,62,8.6,3.2,0.04
55,Amari Cooper,7,WR,OAK,6,28,119,54.6,17,52,8.3,5,0.18
56,Joseph Randle,8,RB,DAL,6,28,106,55.4,18.4,42,9.2,4.9,0.17
57,Drew Brees,8,QB,NO,11,44,90,55.5,11.1,65,18.3,3.5,0.06
58,Travis Kelce,8,TE,KC,9,27,67,55.6,9.9,48,7.6,9.9,0.55
59,Sammy Watkins,9,WR,BUF,8,46,150,63.4,17.8,53,9.1,4,0.1
60,DeSean Jackson,9,WR,WAS,8,46,99,63.5,11.7,63,9.4,4.3,0.12
61,Allen Robinson,8,WR,JAC,8,29,126,59.5,18.4,64,7.7,5.2,0.19
62,Jarvis Landry,9,WR,MIA,5,36,117,64,17.3,60,8,5,0.18
63,Ben Roethlisberger,8,QB,PIT,11,30,89,60.4,12.8,70,16.9,3.1,0.03
64,Roddy White,9,WR,ATL,10,44,126,65.8,14.7,77,8,3.4,0.06
65,Ameer Abdullah,9,RB,DET,9,4,117,64.4,24.5,56,6.8,5,0.18
66,Vincent Jackson,10,WR,TB,6,41,149,69.2,17.6,72,8.2,7.6,0.38
67,LeGarrette Blount,10,RB,NE,4,36,101,72.8,18.2,71,9.1,5.5,0.22
68,Matt Ryan,10,QB,ATL,10,40,97,69.5,13,79,17.5,3.4,0.06
69,Cam Newton,10,QB,CAR,5,45,93,70,13.8,81,17.2,3.7,0.08
70,Martellus Bennett,10,TE,CHI,7,33,101,72,14,73,7.3,3.1,0.03
71,Larry Fitzgerald,11,WR,ARI,9,48,122,77.5,19.1,89,7.4,3.3,0.05
72,Rashad Jennings,11,RB,NYG,11,38,132,78.3,16.3,67,9.1,4.3,0.12
73,Eric Decker,11,WR,NYJ,5,57,153,80.2,21.8,99,7.9,3.8,0.09
74,Steve Smith,11,WR,BAL,9,46,152,80.7,19,100,7.9,4.3,0.13
75,Martavis Bryant,11,WR,PIT,11,41,157,76.9,22.9,57,8,4.5,0.14
76,Brandon LaFell,11,WR,NE,4,55,122,77.2,15.1,88,7.9,6.5,0.29
77,Tony Romo,11,QB,DAL,6,53,125,77.4,15.3,91,16.7,3.7,0.08
78,Shane Vereen,11,RB,NYG,11,43,121,79.6,16.3,69,7,4.9,0.17
79,Joique Bell,11,RB,DET,9,43,137,83.5,24.2,66,9.7,2.8,0.01
80,Anquan Boldin,11,WR,SF,10,51,151,79.8,22.2,106,7.8,4.5,0.14
81,Tevin Coleman,11,RB,ATL,10,37,116,83.6,18.8,68,7.9,5,0.18
82,Devonta Freeman,12,RB,ATL,10,60,135,91,15.8,87,7.6,9.2,0.5
83,Christopher Ivory,12,RB,NYJ,5,37,127,87.7,19.2,84,7.7,5,0.18
84,Mike Wallace,12,WR,MIN,5,63,162,89.1,21.9,76,8,4.4,0.13
85,Eli Manning,12,QB,NYG,11,59,157,90.2,19.2,98,16,3,0.03
86,Doug Martin,12,RB,TB,6,59,144,90.4,17.7,74,7.3,3.1,0.03
87,Charles Johnson,12,WR,MIN,5,47,138,88.2,22,80,7.5,11.7,0.69
88,Isaiah Crowell,12,RB,CLE,11,65,126,93.7,16.3,78,8.1,4,0.1
89,Zach Ertz,12,TE,PHI,8,66,162,91.5,21.3,82,6.5,3.7,0.08
90,Ryan Tannehill,12,QB,MIA,5,63,130,91.6,17.1,102,16.3,3.1,0.04
91,Marques Colston,12,WR,NO,11,55,156,96.2,22.9,114,7.7,2.9,0.02
92,Nelson Agholor,12,WR,PHI,8,57,159,90.4,20.4,75,7.3,5,0.18
93,Pierre Garcon,12,WR,WAS,8,65,167,97.7,25.8,110,6.7,3.9,0.1
94,Jason Witten,12,TE,DAL,6,79,120,94.5,12.2,112,7.2,3.7,0.08
95,Matthew Stafford,12,QB,DET,9,44,137,98.1,18,96,16.4,3.3,0.05
96,Delanie Walker,12,TE,TEN,4,63,128,91.5,15.2,113,6,3.1,0.03
97,Torrey Smith,12,WR,SF,10,68,162,98.4,19.9,108,7.8,3.7,0.08
98,Jordan Cameron,12,TE,MIA,5,56,117,95.2,13.1,95,5.9,3.4,0.06
99,Julius Thomas,12,TE,JAC,8,70,129,96.3,12.6,86,6.7,5.3,0.2
100,Kendall Wright,13,WR,TEN,4,51,154,102.7,25,116,7,4.5,0.14
101,Tom Brady,13,QB,NE,4,53,182,104.6,24.5,97,13.6,3.3,0.05
102,Reggie Bush,13,RB,SF,10,73,165,103.8,20.1,117,5.2,2.9,0.01
103,Michael Floyd,13,WR,ARI,9,70,155,101.3,19.2,92,7.6,5,0.18
104,John Brown,13,WR,ARI,9,65,161,107.6,24.4,105,7.1,2.8,0.01
105,Philip Rivers,13,QB,SD,10,77,156,107.7,17.6,115,15.9,4.2,0.12
106,Arian Foster,12,RB,HOU,9,9,190,98,46.1,40,7.2,3,0.03
107,Duke Johnson,13,RB,CLE,11,67,170,108.9,24.6,90,4.9,5,0.18
108,Bishop Sankey,14,RB,TEN,4,63,175,112.5,26.7,94,6.8,6.8,0.31
109,Charles Sims,14,RB,TB,6,58,170,111,18.6,122,5.9,2.9,0.01
110,Danny Woodhead,13,RB,SD,10,43,149,104.7,23.4,103,5,2.9,0.02
111,Tre Mason,14,RB,STL,6,93,170,117.7,18.1,85,5.5,3.8,0.09
112,Ryan Mathews,14,RB,PHI,8,80,165,115.3,21.8,101,6.5,3.4,0.05
